gene,score,logfoldchange,pvals_adj
INS,22.858963,3.46306,2.0842267125945652e-111
GCG,21.723305,3.9841607,1.0818550345298343e-100
TTR,19.68391,3.6766355,1.7291277618035e-82
DDIT4,17.17596,1.1263449,1.7596227220894182e-62
APOD,15.483698,1.5256388,1.3046368041316708e-50
S100A6,15.172437,0.6063001,1.3468583109676253e-48
CHGB,14.986449,3.5539155,1.9708537211195534e-47
KRT8,14.964962,0.82037,2.4203143605684843e-47
SST,14.8668,3.0858636,8.618583881101581e-47
KRT7,13.955417,0.9163561,4.2550622150511956e-41
UBD,13.2052765,1.2941266,1.1018308781391899e-36
S100A10,12.635153,0.6084534,1.6901989738779613e-33
SCG5,12.401331,2.7469149,2.926872394509066e-32
HLA-C,12.398149,0.49192685,2.926872394509066e-32
PLAAT4,12.359688,1.12548,4.4480995497026753e-32
JPT1,12.293548,1.0274343,9.54389002173407e-32
TESC,12.1981735,1.208766,2.9296277532591237e-31
ADAM9,12.044109,0.7662672,1.8238915662261997e-30
UBC,11.936993,0.24838759,6.330558489667352e-30
ID1,11.825312,0.93301356,2.2989531057968022e-29
